,Date/Time,Year,Month,Day,Max_Temp,Min_Temp,Mean_Temp
0,2017-01-01,2017,1,1,-7.8,-17.4,-12.6
1,2017-01-02,2017,1,2,-16.1,-26.1,-21.1
2,2017-01-03,2017,1,3,-15.5,-22.4,-19.0
3,2017-01-04,2017,1,4,-7.2,-17.2,-12.2
4,2017-01-05,2017,1,5,-3.5,-15.8,-9.7
5,2017-01-06,2017,1,6,-9.9,-17.0,-13.5
6,2017-01-07,2017,1,7,-14.9,-19.2,-17.1
7,2017-01-08,2017,1,8,-17.4,-19.8,-18.6
8,2017-01-09,2017,1,9,-19.5,-23.1,-21.3
9,2017-01-10,2017,1,10,-16.2,-22.1,-19.2
10,2017-01-11,2017,1,11,-6.0,-23.1,-14.6
11,2017-01-12,2017,1,12,-2.9,-20.1,-11.5
12,2017-01-13,2017,1,13,-2.6,-13.4,-8.0
13,2017-01-14,2017,1,14,6.2,-14.1,-4.0
14,2017-01-15,2017,1,15,7.0,-1.3,2.9
15,2017-01-16,2017,1,16,9.6,-6.3,1.7
16,2017-01-17,2017,1,17,10.2,0.7,5.5
17,2017-01-18,2017,1,18,7.7,,
18,2017-01-19,2017,1,19,9.9,-0.8,4.6
19,2017-01-20,2017,1,20,5.7,-7.8,-1.1
20,2017-01-21,2017,1,21,2.1,-10.3,-4.1
21,2017-01-22,2017,1,22,-3.1,-6.3,-4.7
22,2017-01-23,2017,1,23,-3.2,-7.5,-5.4
23,2017-01-24,2017,1,24,0.5,-11.1,-5.3
24,2017-01-25,2017,1,25,1.6,-7.2,-2.8
25,2017-01-26,2017,1,26,4.8,-6.9,-1.1
26,2017-01-27,2017,1,27,7.4,-7.4,0.0
27,2017-01-28,2017,1,28,10.8,5.8,8.3
28,2017-01-29,2017,1,29,13.0,4.8,8.9
29,2017-01-30,2017,1,30,5.3,-4.7,0.3
30,2017-01-31,2017,1,31,-4.6,-12.1,-8.4
31,2017-02-01,2017,2,1,-7.1,-11.8,-9.5
32,2017-02-02,2017,2,2,-6.2,-14.7,-10.5
33,2017-02-03,2017,2,3,-11.1,-18.6,-14.9
34,2017-02-04,2017,2,4,-14.2,-17.4,-15.8
35,2017-02-05,2017,2,5,-16.0,-19.8,-17.9
36,2017-02-06,2017,2,6,-19.6,-25.2,-22.4
37,2017-02-07,2017,2,7,-20.9,-29.6,-25.3
38,2017-02-08,2017,2,8,-13.7,-29.5,-21.6
39,2017-02-09,2017,2,9,-6.9,-17.3,-12.1
40,2017-02-10,2017,2,10,5.9,-16.4,-5.3
41,2017-02-11,2017,2,11,2.7,-8.1,-2.7
42,2017-02-12,2017,2,12,6.3,-4.2,1.1
43,2017-02-13,2017,2,13,9.2,2.9,6.1
44,2017-02-14,2017,2,14,12.1,-3.4,4.4
45,2017-02-15,2017,2,15,16.4,-2.3,7.1
46,2017-02-16,2017,2,16,15.0,-0.4,7.3
47,2017-02-17,2017,2,17,9.9,-1.9,4.0
48,2017-02-18,2017,2,18,1.7,-5.4,-1.9
49,2017-02-19,2017,2,19,1.4,-4.0,-1.3
50,2017-02-20,2017,2,20,0.8,-7.1,-3.2
51,2017-02-21,2017,2,21,1.6,,
52,2017-02-22,2017,2,22,-1.3,-6.2,-3.8
53,2017-02-23,2017,2,23,-2.4,-8.0,-5.2
54,2017-02-24,2017,2,24,-5.9,-11.0,-8.5
55,2017-02-25,2017,2,25,-3.1,-10.5,-6.8
56,2017-02-26,2017,2,26,-5.9,-13.5,-9.7
57,2017-02-27,2017,2,27,-8.6,-17.2,-12.9
58,2017-02-28,2017,2,28,-5.9,-13.9,-9.9
59,2017-03-01,2017,3,1,0.7,-12.7,-6.0
60,2017-03-02,2017,3,2,2.5,-11.7,-4.6
61,2017-03-03,2017,3,3,9.6,-5.9,1.9
62,2017-03-04,2017,3,4,-3.5,-12.3,-7.9
63,2017-03-05,2017,3,5,-9.9,-13.4,-11.7
64,2017-03-06,2017,3,6,-9.8,-14.6,-12.2
65,2017-03-07,2017,3,7,-9.8,-16.2,-13.0
66,2017-03-08,2017,3,8,-13.8,-20.2,-17.0
67,2017-03-09,2017,3,9,-17.2,-22.4,-19.8
68,2017-03-10,2017,3,10,-16.9,-20.3,-18.6
69,2017-03-11,2017,3,11,-15.1,-20.3,-17.7
70,2017-03-12,2017,3,12,-12.3,-19.2,-15.8
71,2017-03-13,2017,3,13,9.3,-16.4,-3.6
72,2017-03-14,2017,3,14,9.2,-0.8,4.2
73,2017-03-15,2017,3,15,14.5,-2.2,6.2
74,2017-03-16,2017,3,16,9.5,-1.4,4.1
75,2017-03-17,2017,3,17,6.2,-4.8,0.7
76,2017-03-18,2017,3,18,15.4,-3.5,6.0
77,2017-03-19,2017,3,19,4.5,-5.1,-0.3
78,2017-03-20,2017,3,20,1.2,-7.0,-2.9
79,2017-03-21,2017,3,21,5.8,-4.5,0.7
80,2017-03-22,2017,3,22,14.0,-1.1,6.5
81,2017-03-23,2017,3,23,10.9,-1.8,4.6
82,2017-03-24,2017,3,24,13.9,-3.6,5.2
83,2017-03-25,2017,3,25,12.3,-0.2,6.1
84,2017-03-26,2017,3,26,10.3,-4.6,2.9
85,2017-03-27,2017,3,27,12.3,0.8,6.6
86,2017-03-28,2017,3,28,11.6,-2.2,4.7
87,2017-03-29,2017,3,29,11.3,-1.4,5.0
88,2017-03-30,2017,3,30,11.6,-2.1,4.8
89,2017-03-31,2017,3,31,14.6,-2.5,6.1
90,2017-04-01,2017,4,1,15.6,-0.7,7.5
91,2017-04-02,2017,4,2,3.7,-2.0,0.9
92,2017-04-03,2017,4,3,7.6,-3.5,2.1
93,2017-04-04,2017,4,4,11.4,-6.6,2.4
94,2017-04-05,2017,4,5,16.7,-3.0,6.9
95,2017-04-06,2017,4,6,18.0,5.0,11.5
96,2017-04-07,2017,4,7,10.3,-2.4,4.0
97,2017-04-08,2017,4,8,12.3,2.4,7.4
98,2017-04-09,2017,4,9,7.7,1.4,4.6
99,2017-04-10,2017,4,10,11.5,-2.6,4.5
100,2017-04-11,2017,4,11,9.9,-0.3,4.8
101,2017-04-12,2017,4,12,7.0,-1.1,3.0
102,2017-04-13,2017,4,13,3.8,0.2,2.0
103,2017-04-14,2017,4,14,11.3,-0.1,5.6
104,2017-04-15,2017,4,15,3.9,-3.4,0.3
105,2017-04-16,2017,4,16,8.6,-5.5,1.6
106,2017-04-17,2017,4,17,11.6,-1.4,5.1
107,2017-04-18,2017,4,18,14.4,0.8,7.6
108,2017-04-19,2017,4,19,13.8,1.6,7.7
109,2017-04-20,2017,4,20,15.2,0.9,8.1
110,2017-04-21,2017,4,21,10.7,2.6,6.7
111,2017-04-22,2017,4,22,12.6,-1.4,5.6
112,2017-04-23,2017,4,23,10.9,1.2,6.1
113,2017-04-24,2017,4,24,4.5,-0.1,2.2
114,2017-04-25,2017,4,25,1.2,-2.4,-0.6
115,2017-04-26,2017,4,26,3.6,-3.0,0.3
116,2017-04-27,2017,4,27,8.5,0.7,4.6
117,2017-04-28,2017,4,28,9.7,0.0,4.9
118,2017-04-29,2017,4,29,13.5,1.5,7.5
119,2017-04-30,2017,4,30,14.2,4.0,9.1
120,2017-05-01,2017,5,1,13.0,1.3,7.2
121,2017-05-02,2017,5,2,12.5,2.0,7.3
122,2017-05-03,2017,5,3,21.3,-0.1,10.6
123,2017-05-04,2017,5,4,24.0,9.3,16.7
124,2017-05-05,2017,5,5,25.4,6.8,16.1
125,2017-05-06,2017,5,6,24.2,8.2,16.2
126,2017-05-07,2017,5,7,11.1,3.7,7.4
127,2017-05-08,2017,5,8,17.0,2.4,9.7
128,2017-05-09,2017,5,9,15.9,8.5,12.2
129,2017-05-10,2017,5,10,21.0,5.8,13.4
130,2017-05-11,2017,5,11,22.8,5.0,13.9
131,2017-05-12,2017,5,12,19.7,9.3,14.5
132,2017-05-13,2017,5,13,16.3,5.1,10.7
133,2017-05-14,2017,5,14,12.9,3.2,8.1
134,2017-05-15,2017,5,15,14.7,,
135,2017-05-16,2017,5,16,13.1,-0.6,6.3
136,2017-05-17,2017,5,17,7.2,3.3,5.3
137,2017-05-18,2017,5,18,16.3,1.0,8.7
138,2017-05-19,2017,5,19,18.6,2.9,10.8
139,2017-05-20,2017,5,20,20.2,5.1,12.7
140,2017-05-21,2017,5,21,23.0,5.2,14.1
141,2017-05-22,2017,5,22,24.7,10.6,17.7
142,2017-05-23,2017,5,23,28.4,11.8,20.1
143,2017-05-24,2017,5,24,12.8,,
144,2017-05-25,2017,5,25,13.3,7.4,10.4
