,Date/Time,Year,Month,Day,Max_Temp,Min_Temp,Mean_Temp
0,2016-01-01,2016,1,1,-1.2,-10.8,-6.0
1,2016-01-02,2016,1,2,-2.2,-15.4,-8.8
2,2016-01-03,2016,1,3,-7.9,-17.3,-12.6
3,2016-01-04,2016,1,4,-5.2,-16.5,-10.9
4,2016-01-05,2016,1,5,-8.4,-19.7,-14.1
5,2016-01-06,2016,1,6,-8.9,-18.7,-13.8
6,2016-01-07,2016,1,7,-11.9,-17.3,-14.6
7,2016-01-08,2016,1,8,-17.3,-20.7,-19.0
8,2016-01-09,2016,1,9,-20.1,-35.9,-28.0
9,2016-01-10,2016,1,10,-22.8,-38.4,-30.6
10,2016-01-11,2016,1,11,-15.9,-28.4,-22.2
11,2016-01-12,2016,1,12,-15.1,-21.2,-18.2
12,2016-01-13,2016,1,13,-15.2,-22.5,-18.9
13,2016-01-14,2016,1,14,-15.3,-27.4,-21.4
14,2016-01-15,2016,1,15,-18.9,-30.6,-24.8
15,2016-01-16,2016,1,16,-18.9,-31.1,-25.0
16,2016-01-17,2016,1,17,-18.2,-33.1,-25.7
17,2016-01-18,2016,1,18,-18.7,-34.4,-26.6
18,2016-01-19,2016,1,19,-14.2,-18.7,-16.5
19,2016-01-20,2016,1,20,-12.2,-20.6,-16.4
20,2016-01-21,2016,1,21,-10.5,-25.2,-17.9
21,2016-01-22,2016,1,22,-5.9,-14.3,-10.1
22,2016-01-23,2016,1,23,-6.4,-14.6,-10.5
23,2016-01-24,2016,1,24,-5.5,-10.4,-8.0
24,2016-01-25,2016,1,25,-3.2,-14.4,-8.8
25,2016-01-26,2016,1,26,-0.8,-16.7,-8.8
26,2016-01-27,2016,1,27,4.7,-3.8,0.5
27,2016-01-28,2016,1,28,-0.7,-5.0,-2.9
28,2016-01-29,2016,1,29,3.7,-5.1,-0.7
29,2016-01-30,2016,1,30,2.4,-4.4,-1.0
30,2016-01-31,2016,1,31,-2.2,-10.2,-6.2
31,2016-02-01,2016,2,1,-9.2,-15.2,-12.2
32,2016-02-02,2016,2,2,-7.6,-17.9,-12.8
33,2016-02-03,2016,2,3,-7.3,-20.6,-14.0
34,2016-02-04,2016,2,4,-11.0,-24.2,-17.6
35,2016-02-05,2016,2,5,-6.9,-17.2,-12.1
36,2016-02-06,2016,2,6,2.4,-11.5,-4.6
37,2016-02-07,2016,2,7,-3.2,-12.7,-8.0
38,2016-02-08,2016,2,8,-7.9,-15.0,-11.5
39,2016-02-09,2016,2,9,-8.9,-16.2,-12.6
40,2016-02-10,2016,2,10,-11.4,-15.5,-13.5
41,2016-02-11,2016,2,11,-15.5,-26.7,-21.1
42,2016-02-12,2016,2,12,-21.2,-32.3,-26.8
43,2016-02-13,2016,2,13,-11.1,-31.7,-21.4
44,2016-02-14,2016,2,14,1.7,-11.1,-4.7
45,2016-02-15,2016,2,15,-4.7,-14.3,-9.5
46,2016-02-16,2016,2,16,-7.2,-15.7,-11.5
47,2016-02-17,2016,2,17,0.8,-11.0,-5.1
48,2016-02-18,2016,2,18,-2.1,-12.2,-7.2
49,2016-02-19,2016,2,19,-0.9,-13.9,-7.4
50,2016-02-20,2016,2,20,-11.3,-23.2,-17.3
51,2016-02-21,2016,2,21,-9.1,-27.4,-18.3
52,2016-02-22,2016,2,22,-3.5,-9.5,-6.5
53,2016-02-23,2016,2,23,-5.1,-16.1,-10.6
54,2016-02-24,2016,2,24,-2.2,-17.9,-10.1
55,2016-02-25,2016,2,25,-1.3,-21.3,-11.3
56,2016-02-26,2016,2,26,6.2,-5.2,0.5
57,2016-02-27,2016,2,27,3.9,-15.4,-5.8
